cell_id,mean
0,-0.19317857854291365
1,-0.09983435369042623
2,-0.06259416164499426
3,-0.22042076039665032
4,-0.2233314048740793
5,-0.10751364142566246
6,-0.25806990207522923
7,-0.1834501848930105
8,-0.2299286331838957
9,-0.1680935134343205
10,-0.16275162287722536
11,0.06732754110693816
12,-0.10855730913976333
13,-0.08299385222379128
14,-0.1608099813910623
15,-0.20554217043086484
16,-0.11613483890956217
17,-0.07354597309186313
18,-0.04514642617934045
19,-0.13202597012382436
20,-0.10509995405189387
21,-0.1319265486838993
22,-0.0947432357060605
23,-0.06840276341115721
24,-0.08393007715196497
25,-0.10086129583186446
26,-0.17475551858329985
27,-0.11644320501375491
28,-0.12055275124267682
29,-0.08258300529243172
30,-0.12053490069550432
31,-0.12112802952436916
32,-0.13272343547780197
33,-0.1149529704766512
34,-0.1083013364950856
35,-0.11779310839564297
36,-0.14797194519464493
37,-0.08878996432110944
38,-0.1608280518376696
39,-0.0379113883865014
40,-0.0759021350210146
41,-0.03181020694642215
42,-0.0501218382647413
43,-0.04044502877065447
44,-0.041400594534746
45,-0.12555104462914202
46,-0.13568879595783925
47,-0.07263467806550834
48,-0.07844309588263106
49,-0.10907334506387903
50,-0.1732671451931054
51,-0.011395175477422574
52,-0.1164892918054967
53,-0.13579774513592813
54,-0.15464577556375833
55,-0.08077110580284357
56,-0.1462721279132332
57,-0.11865638664174386
58,-0.16241855075850153
59,-0.12289280428489505
60,-0.16915729114177694
61,-0.0897247911380265
62,-0.14275661093268596
63,-0.12754471968809458
64,-0.07885844260105516
65,-0.15928479623481448
66,-0.13128578216198336
67,-0.07513922457109887
68,-0.07776886488832685
69,-0.0466155826961474
70,-0.0854234382379874
71,-0.05747126432024986
72,-0.04837899264415427
73,-0.05354883227287885
74,-0.035713807204014146
75,-0.023459653932042204
76,-0.06497935777520035
77,-0.06925459879716615
78,-0.12224705670033795
79,-0.10987240347985769
80,-0.07038384751440516
81,-0.08148762341173388
82,-0.034394881929248645
83,-0.07024749567841353
84,-0.09638948081188974
85,-0.10857897766486771
86,-0.10990241490989731
87,0.017296371913932983
88,0.03778713091322187
89,-0.1318257707316782
90,-0.12784975494384795
91,-0.038089506930850205
92,-0.17046231462891126
93,-0.11956534381215227
94,-0.06809029564455324
95,-0.12323668535561215
96,-0.12405162376969098
97,-0.08517495460541119
98,-0.16240395989545792
99,-0.11196396336004222
100,-0.12814429404960878
101,-0.11817231321606744
102,-0.08247664437849313
103,-0.1654883451188278
104,-0.11285737023535446
105,-0.11382484261942405
106,-0.07115905491776867
107,-0.08330402081196613
108,-0.06812962128666203
109,-0.053529324616678246
110,-0.11658416238537804
111,-0.08768905795213636
112,-0.09250018835480363
113,-0.08692377828546786
114,-0.1145061540423025
115,-0.1278273790477468
116,-0.11418168634731674
117,-0.11652584829615212
118,-0.0957262368951822
119,-0.12275027348588176
120,-0.10079595348126441
121,-0.10583256177671307
122,-0.013136028021768404
123,-0.05056673418170952
124,-0.13311044380390624
125,-0.11052549525474359
126,-0.13917299416504939
127,0.012366959804476971
128,-0.09275902435579704
129,-0.06445520954566768
130,-0.02698463231459471
131,-0.15139940422625958
132,-0.1240774244842425
133,-0.07098369720933537
134,-0.07962522012068422
135,-0.08821889465289429
136,-0.0319563813312444
137,-0.10280494190182682
138,-0.11121065780757934
139,-0.11863704180333008
140,-0.09313350478826374
141,-0.14699524514697593
142,-0.11566686865827017
143,-0.11585240263173054
144,-0.04430236025028643
145,-0.16097333909985562
146,-0.04869736748157252
147,-0.07544112754265067
148,-0.05121735221673854
149,-0.13449042144255324
150,-0.03996082314018421
151,-0.14283265349707616
152,-0.1677423758523779
153,-0.17939781666870208
154,-0.15626948719544279
155,-0.08879221193902684
156,-0.10056056170535711
157,-0.1299059727345998
158,-0.10877911943559741
159,-0.10471453087488627
160,-0.08462154543195365
161,-0.09746322732785799
162,-0.1561115433263091
163,-0.049409071321970616
164,-0.0917580457190478
165,-0.12252743867082101
166,-0.1473425506741223
167,-0.10250269981393835
168,-0.09145098340735075
169,-0.04450972657453479
170,-0.06835398436089965
171,-0.13026165842062903
172,-0.1333576566183218
173,-0.13108363293871686
174,-0.09668099887812973
175,-0.13675947683402373
176,-0.15549140545513948
177,-0.141243438607633
178,-0.13116124877981028
179,-0.07022527589710788
180,-0.1472776023506923
181,-0.14134307526416923
182,-0.1582669669272574
183,-0.04380668492496241
184,-0.06412340335455442
185,-0.09785503113474729
186,-0.08515778667530918
187,-0.07909382188817853
188,-0.0970824693605134
189,-0.14100673531488553
190,-0.11318649723984778
191,-0.11722550042610899
192,-0.11321424322102139
193,-0.1291812942670465
194,-0.02673703103647288
195,-0.06059955232149701
196,-0.05208965407551033
197,-0.06388550827425052
198,-0.05478064981778635
199,-0.0332198936111468
200,-0.05880232483497701
201,-0.0771907750988405
202,-0.14885603973999267
203,-0.1409662028741496
204,-0.09376788691893707
205,-0.061290085338703705
206,-0.08914404096403275
207,-0.1089680130084501
208,-0.07840856016012622
209,-0.021550123454380288
210,-0.040454903971893226
211,-0.10651134968347166
212,-0.1383978725484749
213,-0.12444937927167181
214,-0.15552405150153395
215,-0.11652646376043899
216,-0.12733430822753478
217,-0.14445192864966597
218,-0.13196846749128244
219,-0.17235074934433092
220,-0.11127042349748642
221,-0.08729590482579608
222,-0.06631507210385869
223,-0.034056895528817965
224,-0.043688424759181436
225,-0.10044525921056607
226,-0.10525382531122954
227,-0.12696491621866335
228,-0.12969678369640555
229,-0.11318612411702948
230,-0.14155024083791093
231,-0.0738391084919396
232,-0.025329990201923436
233,-0.03240580627325851
234,-0.043472153325338665
235,-0.025397297307701235
236,-0.07004210999977124
237,-0.09216270200347654
238,-0.06419008506341231
239,-0.14326599884873714
240,0.018973812449468226
241,-0.033426976480422914
242,-0.004052479043758755
243,-0.07442801109099395
244,-0.05631918555749263
245,-0.07719028979256634
246,-0.08277895394804248
247,-0.07527356775709279
248,-0.13643521144596418
249,-0.09800227194135698
250,-0.08557758633073367
251,-0.06857591057511504
252,-0.13407014028478317
253,-0.14409370211265324
254,-0.15943691598168347
255,-0.0773927696206554
256,-0.07853570634826967
257,-0.06277096209952575
258,-0.08679088149446995
259,-0.07709536521885504
260,-0.07746755620405725
261,-0.0364364491050376
262,-0.034221777804367415
