type,lat,lon,activity_score,year,nightlights,ndbi
fuel,-1.9385599,30.0437693,1,2015,12.951618,0.05951469704160032
hotel,-1.9794787,30.0401562,1,2015,4.1186404,0.05951469704160032
nightclub,-1.9795484,30.0402019,1,2015,4.1186404,0.05951469704160032
biergarten,-1.9789955,30.0405933,1,2015,5.647077,0.05951469704160032
biergarten,-1.9790662,30.040522700000004,1,2015,4.1186404,0.05951469704160032
bank,-1.9471565,30.0600806,1,2015,45.0858,0.05951469704160032
cafe,-1.9455336,30.061501700000004,1,2015,45.0858,0.05951469704160032
townhall,-1.938938,30.0817494,1,2015,16.159945,0.05951469704160032
place_of_worship,-1.9779614,30.1128279,1,2015,10.546466,0.05951469704160032
place_of_worship,-1.9856038,30.1118974,1,2015,5.697813,0.05951469704160032
townhall,-1.9845956,30.103490800000003,1,2015,6.183147,0.05951469704160032
public_building,-1.974616,30.1135577,1,2015,10.546466,0.05951469704160032
hotel,-1.9736966,30.106565,1,2015,9.173808,0.05951469704160032
school,-1.9876921,30.1006025,1,2015,6.183147,0.05951469704160032
school,-1.9130329,30.0871395,1,2015,7.409166,0.05951469704160032
school,-1.9129694,30.087071099999992,1,2015,7.409166,0.05951469704160032
school,-1.9576254999999991,30.094340500000005,1,2015,15.316382,0.05951469704160032
place_of_worship,-1.9512676,30.122306900000005,1,2015,15.266497,0.05951469704160032
supermarket,-1.9280683,30.0590945,1,2015,11.696981,0.05951469704160032
hotel,-1.9411967,30.0652083,1,2015,20.29905,0.05951469704160032
bar,-1.9695800000000003,30.103453,1,2015,10.601174,0.05951469704160032
kiosk,-1.9713055,30.103740299999995,1,2015,10.289117,0.05951469704160032
restaurant,-1.9495264999999995,30.0800812,1,2015,17.64152,0.05951469704160032
place_of_worship,-1.9020192,30.0539351,1,2015,5.199226,0.05951469704160032
place_of_worship,-1.8882029,30.0364285,1,2015,0.471106,0.05951469704160032
place_of_worship,-1.811795,30.1848873,1,2015,0.09309294,0.05951469704160032
fuel,-1.9347345,30.0625645,1,2015,14.519165,0.05951469704160032
bar,-1.9406793,30.1034685,1,2015,13.663076,0.05951469704160032
cafe,-1.9404434,30.1033451,1,2015,13.663076,0.05951469704160032
mobile_phone,-1.9405214,30.1028492,1,2015,13.663076,0.05951469704160032
atm,-1.9408381,30.103315899999995,1,2015,13.663076,0.05951469704160032
swimming_pool,-1.9419402,30.102660200000003,1,2015,13.663076,0.05951469704160032
hairdresser,-1.9410296,30.1035275,1,2015,13.663076,0.05951469704160032
hotel,-1.9434288,30.064602300000004,1,2015,40.423325,0.05951469704160032
playground,-1.978268,30.1101376,1,2015,10.546466,0.05951469704160032
bank,-1.9477632,30.05954489999999,1,2015,28.444098,0.05951469704160032
convenience,-1.9445235000000003,30.0595921,1,2015,39.92476,0.05951469704160032
restaurant,-1.9421606,30.056262199999992,1,2015,34.786793,0.05951469704160032
bar,-1.954729,30.0817286,1,2015,15.596899,0.05951469704160032
bar,-1.9509815,30.083869,1,2015,18.88896,0.05951469704160032
bar,-1.9326535,30.0737096,1,2015,21.23967,0.05951469704160032
hotel,-1.9053022,30.0429005,1,2015,3.0853548,0.05951469704160032
convenience,-1.9474594,30.092958000000003,1,2015,21.489737,0.05951469704160032
bar,-1.9724037,30.0782269,1,2015,13.865672,0.05951469704160032
hotel,-1.9450024999999995,30.088978399999995,1,2015,20.043005,0.05951469704160032
car_wash,-1.9452364,30.13082839999999,1,2015,15.2438345,0.05951469704160032
playground,-1.9330347000000003,30.0730571,1,2015,19.828686,0.05951469704160032
diplomatic,-1.9445084,30.0881986,1,2015,20.043005,0.05951469704160032
pub,-1.9454433,30.1309973,1,2015,15.2438345,0.05951469704160032
office,-1.9536163,30.1029986,1,2015,19.501509,0.05951469704160032
convenience,-1.9321314,30.073629399999994,1,2015,21.23967,0.05951469704160032
hospital,-1.9528334,30.1028383,1,2015,19.501509,0.05951469704160032
sports_centre,-1.9630909,30.070104000000004,1,2015,15.972337,0.05951469704160032
atm,-1.9591702,30.109334499999992,1,2015,23.709198,0.05951469704160032
fuel,-1.9681500000000005,30.0884655,1,2015,14.930938,0.05951469704160032
bank,-1.9590925,30.1093531,1,2015,23.709198,0.05951469704160032
atm,-1.9591729,30.109463100000003,1,2015,27.79873,0.05951469704160032
educational_institution,-1.9612964,30.113098,1,2015,17.90505,0.05951469704160032
bank,-1.9590925,30.109455,1,2015,27.79873,0.05951469704160032
hotel,-1.9523711,30.0604224,1,2015,29.229385,0.05951469704160032
fuel,-1.9702280000000003,30.0771778,1,2015,11.377877,0.05951469704160032
atm,-1.9678053,30.1018374,1,2015,10.601174,0.05951469704160032
