type,lat,lon,activity_score,nightlights,ndbi,avg_nightlights,avg_ndbi,econ_intensity_pc1,coverage_ratio,cluster_enhanced,cluster_label
fuel,-1.9547666999999995,30.073444,1,25.614545363636363,0.09500518818560001,25.614545363636363,0.09500518818560001,1.6753669069641803,1.9148303326159954,1,Peri-urban Emerging
fuel,-1.9526616,30.073762099999993,1,,,0.0,0.0,-0.7078393979599457,1.9148303326159954,1,Peri-urban Emerging
restaurant,-1.9472923000000002,30.065953000000004,1,,,0.0,0.0,-0.7078393979599457,1.1359435234790578,1,Peri-urban Emerging
school,-1.9512745000000002,30.0598357,1,,,0.0,0.0,-0.7078393979599457,1.5748247285184485,1,Peri-urban Emerging
restaurant,-1.9522126,30.081546899999992,1,21.680864272727273,0.042106821185600024,21.680864272727273,0.042106821185600024,0.8889141556380068,6.46816624720879,0,Peri-urban Emerging
hotel,-1.946264,30.092064299999993,1,,,0.0,0.0,-0.7078393979599457,3.3426708454407814,1,Peri-urban Emerging
fuel,-1.9465771,30.061051199999998,1,,,0.0,0.0,-0.7078393979599457,12.081070596390873,2,Peri-urban Emerging
restaurant,-1.955897,30.065457900000002,1,,,0.0,0.0,-0.7078393979599457,1.7198514196213854,1,Peri-urban Emerging
fuel,-1.9493215,30.020004500000002,1,,,0.0,0.0,-0.7078393979599457,17.699559697126254,2,Peri-urban Emerging
fuel,-1.9489959000000001,30.0218688,1,,,0.0,0.0,-0.7078393979599457,17.699559697126254,2,Peri-urban Emerging
fuel,-1.9411903000000001,30.042979399999997,1,,,0.0,0.0,-0.7078393979599457,14.482923782259697,2,Peri-urban Emerging
hotel,-1.9599921000000002,30.0682894,1,,,0.0,0.0,-0.7078393979599457,1.7198514196213854,1,Peri-urban Emerging
information,-1.946789,30.060917,1,49.08573209090909,-0.20194348845076363,49.08573209090909,-0.20194348845076363,-0.3555521728368423,12.081070596390873,2,Peri-urban Emerging
diplomatic,-1.9530975,30.068037299999997,1,,,0.0,0.0,-0.7078393979599457,0.6771523515675706,1,Peri-urban Emerging
restaurant,-1.9469863999999995,30.0628391,1,,,0.0,0.0,-0.7078393979599457,12.081070596390873,2,Peri-urban Emerging
