type,geometry,lat,lon,activity_score
restaurant,POINT (30.104518 -1.9603249),-1.9603249,30.104518,1
restaurant,POINT (30.0644162 -1.9302713),-1.9302713,30.064416200000004,1
bar,POINT (30.0787547 -1.9344952),-1.9344952,30.0787547,1
cafe,POINT (30.0928292 -1.9477598),-1.9477598,30.092829200000004,1
restaurant,POINT (30.0587685 -1.9436787),-1.9436787,30.058768499999996,1
restaurant,POINT (30.105118 -1.9588177),-1.9588177,30.105118,1
supermarket,POINT (30.0763628 -1.9127495),-1.9127495,30.0763628,1
bar,POINT (30.0868461 -1.9132211),-1.9132211000000001,30.0868461,1
restaurant,POINT (30.0590678 -1.9651606),-1.9651605999999997,30.0590678,1
supermarket,POINT (30.0768071 -1.9611102),-1.9611101999999996,30.0768071,1
restaurant,POINT (30.1022366 -1.9445164),-1.9445163999999995,30.102236599999998,1
bar,POINT (30.1147283 -1.9580289),-1.9580289000000002,30.114728300000003,1
bank,POINT (30.0570628 -1.9466851),-1.9466851,30.057062799999994,1
supermarket,POINT (30.0573279 -1.9466465),-1.9466465,30.057327900000004,1
restaurant,POINT (30.0950916 -1.961654),-1.9616539999999996,30.0950916,1
restaurant,POINT (30.0838818 -1.9310358),-1.9310358,30.083881800000004,1
restaurant,POINT (30.0592467 -1.9476841),-1.9476841,30.0592467,1
restaurant,POINT (30.0595405 -1.9642409),-1.9642409,30.059540500000004,1
supermarket,POINT (30.097062 -1.9552064),-1.9552064,30.097062,1
supermarket,POINT (30.0609472 -1.9462186),-1.9462186,30.060947199999994,1
restaurant,POINT (30.1015387 -1.9385624),-1.9385624000000001,30.101538699999995,1
restaurant,POINT (30.0778619 -1.9382271),-1.9382271,30.077861900000002,1
restaurant,POINT (30.0782476 -1.9345273),-1.9345272999999998,30.0782476,1
restaurant,POINT (30.0885049 -1.9377517),-1.9377516999999997,30.0885049,1
cafe,POINT (30.0845724 -1.9358144),-1.9358144000000002,30.084572400000003,1
supermarket,POINT (30.1069614 -1.959698),-1.959698,30.106961400000003,1
restaurant,POINT (30.1066354 -1.9595448),-1.9595448,30.10663539999999,1
pharmacy,POINT (30.0598657 -1.935812),-1.9358119999999996,30.0598657,1
supermarket,POINT (30.1028319 -1.9688061),-1.9688061,30.102831899999995,1
supermarket,POINT (30.0585655 -1.9429309),-1.9429309,30.058565500000004,1
restaurant,POINT (30.0582911 -1.9423055),-1.9423054999999998,30.058291099999995,1
restaurant,POINT (30.0570123 -1.9431283),-1.9431283,30.057012299999997,1
restaurant,POINT (30.0568929 -1.9433952),-1.9433952,30.0568929,1
restaurant,POINT (30.1114922 -1.9587811),-1.9587810999999997,30.111492199999997,1
restaurant,POINT (30.0845451 -1.9511757),-1.9511757,30.084545099999996,1
restaurant,POINT (30.0844468 -1.951284),-1.951284,30.08444679999999,1
cafe,POINT (30.1046537 -1.9544946),-1.9544946,30.104653699999997,1
restaurant,POINT (30.0650833 -1.9468329),-1.9468328999999995,30.065083300000005,1
cafe,POINT (30.101694 -1.9862772),-1.9862771999999995,30.10169399999999,1
restaurant,POINT (30.0595301 -1.9434745),-1.9434745,30.059530099999996,1
restaurant,POINT (30.0689605 -1.948866),-1.948866,30.068960499999992,1
cafe,POINT (30.0931429 -1.9530624),-1.9530623999999996,30.0931429,1
restaurant,POINT (30.0930185 -1.9529477),-1.9529477000000002,30.0930185,1
restaurant,POINT (30.0926995 -1.9526831),-1.9526831,30.09269949999999,1
restaurant,POINT (30.0928765 -1.9528775),-1.9528775,30.0928765,1
bar,POINT (30.1103472 -1.9596371),-1.9596371,30.110347199999996,1
cafe,POINT (30.0612544 -1.9450231),-1.9450231,30.061254400000003,1
restaurant,POINT (30.0954877 -1.940752),-1.9407520000000003,30.0954877,1
restaurant,POINT (30.0617039 -1.9341132),-1.9341131999999999,30.061703899999998,1
cafe,POINT (30.0911784 -1.9498599),-1.9498599,30.091178400000004,1
restaurant,POINT (30.1125255 -1.961335),-1.9613350000000003,30.112525500000004,1
restaurant,POINT (30.1122978 -1.9614237),-1.9614236999999999,30.112297799999997,1
restaurant,POINT (30.0666325 -1.9564433),-1.9564433,30.066632499999997,1
supermarket,POINT (30.0635958 -1.9434698),-1.9434698,30.063595799999998,1
restaurant,POINT (30.1107211 -1.9267068),-1.9267068000000003,30.110721099999996,1
restaurant,POINT (30.1029927 -1.949534),-1.949534,30.1029927,1
restaurant,POINT (30.2107625 -1.9814716),-1.9814716,30.210762500000005,1
pharmacy,POINT (30.1627884 -1.967317),-1.967317,30.162788399999997,1
restaurant,POINT (30.1932094 -1.9846138),-1.9846138000000002,30.193209399999994,1
restaurant,POINT (30.1202199 -1.959795),-1.9597949999999997,30.1202199,1
cafe,POINT (30.0806847 -1.9543643),-1.9543643,30.0806847,1
cafe,POINT (30.0805966 -1.9543712),-1.9543711999999998,30.080596600000003,1
bank,POINT (30.044703 -1.942052),-1.942051999999999,30.044703,1
pharmacy,POINT (30.0456848 -1.9416145),-1.9416145000000002,30.045684799999997,1
bank,POINT (30.0460952 -1.9414277),-1.9414277,30.0460952,1
bar,POINT (30.0440661 -1.9424392),-1.9424392,30.044066100000002,1
restaurant,POINT (30.0446537 -1.9422041),-1.9422041000000003,30.044653699999994,1
cafe,POINT (30.0440193 -1.9405785),-1.9405785,30.044019299999995,1
restaurant,POINT (30.0454194 -1.9417721),-1.9417720999999997,30.045419399999997,1
restaurant,POINT (30.0445964 -1.941479),-1.9414789999999995,30.044596399999993,1
bank,POINT (30.0454505 -1.9416926),-1.9416926000000003,30.045450499999994,1
restaurant,POINT (30.0449786 -1.9413093),-1.9413093,30.044978599999997,1
bank,POINT (30.0456403 -1.9416407),-1.9416407,30.045640299999995,1
restaurant,POINT (30.0455743 -1.9416678),-1.9416677999999996,30.045574299999995,1
restaurant,POINT (30.0449574 -1.9401677),-1.9401676999999995,30.0449574,1
cafe,POINT (30.0440548 -1.9407136),-1.9407135999999996,30.044054799999998,1
bar,POINT (30.0273684 -1.9477657),-1.9477657,30.0273684,1
bar,POINT (30.0381091 -1.9435766),-1.9435765999999999,30.038109100000003,1
bar,POINT (30.1113576 -1.9602839),-1.9602839,30.1113576,1
restaurant,POINT (30.0598149 -1.949374),-1.949374,30.059814900000003,1
bank,POINT (30.0618624 -1.9510888),-1.9510888000000002,30.0618624,1
restaurant,POINT (30.1796277 -1.8066737),-1.8066736999999997,30.179627700000005,1
restaurant,POINT (30.0952186 -1.960852),-1.960852,30.095218600000003,1
cafe,POINT (30.0600311 -1.9641487),-1.9641487000000002,30.0600311,1
restaurant,POINT (30.0475291 -1.9742532),-1.9742532,30.04752909999999,1
bank,POINT (30.059817 -1.949161),-1.949161,30.059817000000002,1
