Variable,Coefficient,Std. Error,z-value,p-value
const,-1.1845089820311254,0.040474749289700504,-29.265381572914254,2.8615324993470848e-188
nightlights,0.07024645979933757,0.0008906034499770869,78.87512652364511,0.0
ndbi,5.246948960797194,0.21173550339652075,24.780676252348393,1.4485345690225568e-135
